user_id	cond	training	smse
3.0	2	b	0.5391020457345677
5.0	1	a	-0.7163997580105783
6.0	2	a	-0.0751394919344493
15.0	4	b	-0.019119112469584844
19.0	2	a	0.3009346589319076
22.0	2	a	-0.2710629107559522
23.0	2	b	0.5663147601957953
25.0	1	b	-0.05847231285168807
33.0	1	b	0.7727103889916257
35.0	4	a	0.20610984316269296
36.0	1	b	0.21274080908575246
41.0	2	b	-0.08610606972259972
43.0	1	a	0.21107796162901188
47.0	2	a	-0.14474999663244528
51.0	2	a	0.48418366850922695
52.0	2	a	0.02563254679842092
55.0	4	a	-0.38931988120857663
59.0	4	a	-0.040102087853854114
63.0	4	b	0.18946836373846762
65.0	2	c	-0.10314284925226007
82.0	2	a	-0.026636572670144548
83.0	2	c	0.4986558790595164
85.0	2	c	-0.004301086686083361
87.0	1	b	-0.11812507686785803
92.0	4	a	0.1395107027873778
93.0	1	a	0.18448386182538581
96.0	1	c	0.41213332743048675
105.0	1	a	-0.7174095797637772
107.0	1	a	-0.3697158743546138
112.0	1	b	0.8208650691220064
114.0	4	b	2.906712324956183
116.0	4	a	-0.13219073866507694
121.0	2	a	0.27121732930129405
125.0	1	a	-0.31743718657585357
128.0	1	a	0.16373192695504726
131.0	2	a	0.10988169659701827
137.0	1	b	-0.3740700316759163
139.0	4	c	0.35830296757804103
142.0	4	c	-0.6080403653738435
144.0	4	b	-0.5013361542443838
146.0	2	c	-0.2544978458678668
148.0	4	a	0.15896777914721583
149.0	1	c	-0.24670170091608057
150.0	4	a	0.36277879418069536
157.0	1	c	0.951956397148146
168.0	1	a	0.4997908755481063
173.0	2	c	0.28193621423289955
174.0	1	b	0.038730750529867713
178.0	4	b	-0.2348812507957626
181.0	1	a	-0.09631391031382064
182.0	2	a	-0.18311863637704154
186.0	1	c	0.8561402460170849
202.0	2	c	-0.07834180040658228
214.0	2	a	0.29987156469381593
215.0	2	b	-0.24046916140586816
218.0	4	a	-0.2996704266929367
225.0	2	a	1.0689365953891417
227.0	4	a	-0.04294975225455967
228.0	2	a	0.5149843505317621
228.0	2	c	-0.4451427363452162
229.0	1	b	-0.0820886048445757
231.0	4	c	-0.4229575843872991
232.0	1	b	-0.09286809012596006
235.0	1	c	0.20330562780997652
238.0	2	a	-0.06983079805771647
240.0	4	a	0.1095120249007297
242.0	1	a	0.17343680038160447
247.0	2	b	0.07939940757815134
251.0	4	b	1.215222501508948
255.0	2	b	-0.2876913643355511
258.0	1	a	0.2942833872398371
261.0	1	a	0.15187124329785404
267.0	4	a	-0.028382480292566133
268.0	4	c	-0.021841280919759475
273.0	2	c	0.16415269164126825
277.0	1	b	0.3127381515727287
278.0	4	a	0.35424438557505883
282.0	2	a	0.5955174506258264
284.0	4	b	0.06980177388685659
287.0	1	b	1.499349015768589
289.0	2	a	0.24230022541066654
299.0	4	c	-0.7161539585563972
307.0	4	a	-0.06295580469065283
310.0	4	c	0.9998172409511498
311.0	4	b	-0.18354916843522662
314.0	2	a	-0.1730912693291816
316.0	2	b	-0.28492612438430764
318.0	1	b	0.050786792660442406
322.0	2	b	-0.3867598433973189
326.0	2	a	-0.0749387182754251
327.0	2	a	0.23138721008922167
328.0	4	b	-0.020354333498590813
329.0	1	c	0.136751839050346
330.0	2	c	0.31987294190596754
331.0	2	a	0.04670358169546175
333.0	1	a	0.18791015014989518
334.0	4	c	-0.06208810648994521
337.0	2	c	-0.08183679775872858
339.0	4	c	-0.12742679874299273
340.0	4	c	0.17589530932251568
346.0	4	b	-0.6683725913337609
350.0	4	b	0.4849955114132864
353.0	2	b	-0.26793724752283066
360.0	1	a	0.23734807951241257
362.0	1	c	0.49851932468052645
374.0	1	a	-0.08358108946815417
375.0	2	c	-0.2900701937966989
380.0	4	c	-0.4027199490199312
391.0	4	c	-0.6074426780713665
394.0	2	b	0.747802268387664
396.0	1	a	-0.14082056503086984
406.0	1	b	-0.1951638067088573
407.0	1	c	0.18788595142736692
408.0	1	a	-0.35274512561277627
414.0	2	b	0.2555832949020336
422.0	2	c	0.026844131742596273
426.0	1	b	0.11973197169218572
428.0	1	a	-0.21814018102778923
432.0	4	a	-0.5537579428074331
433.0	2	b	-0.23618773833979728
435.0	1	a	0.5935259331207687
436.0	1	a	-0.36654453399472725
443.0	4	b	0.038805513729532504
444.0	1	a	0.8332137358154562
445.0	1	c	0.13113329797253617
448.0	2	b	0.4398624696260199
449.0	4	a	-0.5403840485551752
450.0	2	b	0.1784196885204494
452.0	4	a	0.3905798769250243
454.0	2	b	-0.16724798918188627
462.0	1	a	0.07682697433959686
463.0	1	a	-0.03775369368817291
464.0	1	b	0.022730603891982663
465.0	4	b	0.007753919241828572
467.0	4	b	0.15766570396024715
468.0	2	a	-0.41957482257043455
470.0	4	b	0.03975290709864699
475.0	4	b	0.2994114997872672
477.0	2	b	0.4699573004962179
478.0	4	b	-0.25168596546122557
482.0	1	a	0.5774068228493675
484.0	4	a	0.4849955114132864
487.0	4	a	0.4122350610719063
488.0	1	a	0.2847699561520655
490.0	1	a	0.7345286976899424
496.0	4	c	0.1947485719337563
497.0	2	b	-0.17017354519403774
499.0	4	c	-0.2868226726884629
500.0	2	c	-0.16004958286459134
501.0	1	a	0.7755405205317095
502.0	4	c	-0.11275055433001438
503.0	4	a	0.6532436756322837
506.0	1	a	-0.05116042958280256
509.0	2	b	0.09382329861581441
510.0	4	c	0.5693589466043213
511.0	1	a	0.23569597773149087
517.0	1	a	-0.06503106078344603
520.0	1	a	-0.014961276835667284
523.0	2	c	-0.302249617984222
531.0	2	c	0.6275970877304718
533.0	2	b	0.11669330133791794
535.0	2	c	0.018973909830812895
539.0	4	a	2.9362290404038083
541.0	4	c	-0.009573827501877604
542.0	1	a	-0.00918956863933007
545.0	2	b	-0.4705951033686804
546.0	4	c	-0.2808308935867229
550.0	2	a	-0.10835707290535296
556.0	4	a	0.33139135301010125
561.0	2	a	0.5455052340397538
564.0	2	c	-0.3932540611017187
565.0	4	a	0.11149925097025383
566.0	1	b	-0.043929335169715714
567.0	1	a	0.07941474125676472
568.0	1	c	0.07712796802307874
569.0	2	a	0.030819112765398792
570.0	2	c	-0.2935926005545212
572.0	1	a	0.35887971204190655
574.0	2	b	-0.024510162473288077
580.0	4	a	0.12291812586107298
582.0	1	c	-0.1894657278869492
586.0	1	b	0.061828719228316946
598.0	2	b	-0.5394941627650172
600.0	1	a	-0.17237284281998813
601.0	4	a	0.021224141639061382
605.0	4	b	-0.31263781177730166
615.0	1	a	0.6582617881414334
624.0	4	c	0.09537266214986452
